,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.114,0.915,1,-5.21,1,0.0673,4.62e-05,0.2,0.0737,0.327,75.795,audio_features,3ZFAbKzV6oQFz5k3Rzn0Os,spotify:track:3ZFAbKzV6oQFz5k3Rzn0Os,https://api.spotify.com/v1/tracks/3ZFAbKzV6oQFz5k3Rzn0Os,https://api.spotify.com/v1/audio-analysis/3ZFAbKzV6oQFz5k3Rzn0Os,190642,4
1,0.403,0.45,8,-6.314,1,0.0297,0.664,7.57e-06,0.0946,0.116,147.694,audio_features,7v5s7YFXrwzytRan0HtZGb,spotify:track:7v5s7YFXrwzytRan0HtZGb,https://api.spotify.com/v1/tracks/7v5s7YFXrwzytRan0HtZGb,https://api.spotify.com/v1/audio-analysis/7v5s7YFXrwzytRan0HtZGb,212640,3
2,0.454,0.404,3,-10.26,1,0.027,0.146,0.819,0.141,0.313,94.113,audio_features,7LX4aXtvImhdgUHQBlo8Kp,spotify:track:7LX4aXtvImhdgUHQBlo8Kp,https://api.spotify.com/v1/tracks/7LX4aXtvImhdgUHQBlo8Kp,https://api.spotify.com/v1/audio-analysis/7LX4aXtvImhdgUHQBlo8Kp,319560,4
3,0.286,0.102,9,-15.995,1,0.0323,0.932,0.000114,0.12,0.106,81.76,audio_features,0AY6UDs5EyeW45oQkEpsly,spotify:track:0AY6UDs5EyeW45oQkEpsly,https://api.spotify.com/v1/tracks/0AY6UDs5EyeW45oQkEpsly,https://api.spotify.com/v1/audio-analysis/0AY6UDs5EyeW45oQkEpsly,190093,4
4,0.669,0.781,8,-7.078,1,0.0483,0.689,0.0385,0.12,0.417,110.022,audio_features,6XKqe8eVSaWNasLeJGnLqE,spotify:track:6XKqe8eVSaWNasLeJGnLqE,https://api.spotify.com/v1/tracks/6XKqe8eVSaWNasLeJGnLqE,https://api.spotify.com/v1/audio-analysis/6XKqe8eVSaWNasLeJGnLqE,239181,4
5,0.792,0.759,1,-5.69,1,0.0421,0.0315,0.00297,0.0585,0.937,120.001,audio_features,5qSFfDxat8tmc36q8nud0M,spotify:track:5qSFfDxat8tmc36q8nud0M,https://api.spotify.com/v1/tracks/5qSFfDxat8tmc36q8nud0M,https://api.spotify.com/v1/audio-analysis/5qSFfDxat8tmc36q8nud0M,188280,4
6,0.41,0.959,7,-3.613,0,0.0461,0.00424,0.0087,0.835,0.675,90.582,audio_features,2YmRF0TGbKaNtgB7wKAbIk,spotify:track:2YmRF0TGbKaNtgB7wKAbIk,https://api.spotify.com/v1/tracks/2YmRF0TGbKaNtgB7wKAbIk,https://api.spotify.com/v1/audio-analysis/2YmRF0TGbKaNtgB7wKAbIk,259213,4
7,0.686,0.969,11,-4.46,0,0.344,0.214,8.2e-06,0.337,0.789,155.003,audio_features,2XFak3Sx0XCoXJpPt5TeeR,spotify:track:2XFak3Sx0XCoXJpPt5TeeR,https://api.spotify.com/v1/tracks/2XFak3Sx0XCoXJpPt5TeeR,https://api.spotify.com/v1/audio-analysis/2XFak3Sx0XCoXJpPt5TeeR,199995,4
8,0.598,0.565,11,-7.764,0,0.0471,0.0108,0.0471,0.307,0.328,92.126,audio_features,1Bildp7NM39gR3smbMh8W1,spotify:track:1Bildp7NM39gR3smbMh8W1,https://api.spotify.com/v1/tracks/1Bildp7NM39gR3smbMh8W1,https://api.spotify.com/v1/audio-analysis/1Bildp7NM39gR3smbMh8W1,217201,4
9,0.61,0.69,11,-7.157,1,0.0378,0.463,0.0409,0.0842,0.462,118.038,audio_features,6q5nAr2JniAHj1gKheejE0,spotify:track:6q5nAr2JniAHj1gKheejE0,https://api.spotify.com/v1/tracks/6q5nAr2JniAHj1gKheejE0,https://api.spotify.com/v1/audio-analysis/6q5nAr2JniAHj1gKheejE0,238413,4
10,0.794,0.672,5,-7.575,1,0.119,0.562,0.00265,0.0879,0.78,158.937,audio_features,3alBp4FAwRPDppcSBlCVeo,spotify:track:3alBp4FAwRPDppcSBlCVeo,https://api.spotify.com/v1/tracks/3alBp4FAwRPDppcSBlCVeo,https://api.spotify.com/v1/audio-analysis/3alBp4FAwRPDppcSBlCVeo,169172,4
11,0.642,0.523,1,-7.999,0,0.36,0.0312,1.97e-06,0.0568,0.394,76.326,audio_features,6zqYITGsQw58qXz31AtQah,spotify:track:6zqYITGsQw58qXz31AtQah,https://api.spotify.com/v1/tracks/6zqYITGsQw58qXz31AtQah,https://api.spotify.com/v1/audio-analysis/6zqYITGsQw58qXz31AtQah,152253,4
12,0.631,0.424,6,-9.106,1,0.0438,0.796,0.000143,0.118,0.589,126.127,audio_features,6pPOkr2OxhQ6htrzOiDmq9,spotify:track:6pPOkr2OxhQ6htrzOiDmq9,https://api.spotify.com/v1/tracks/6pPOkr2OxhQ6htrzOiDmq9,https://api.spotify.com/v1/audio-analysis/6pPOkr2OxhQ6htrzOiDmq9,158627,5
13,0.411,0.456,0,-9.74,1,0.0378,0.497,5.56e-05,0.325,0.161,114.946,audio_features,1bi59UgQqJIo4qcl9KEeV5,spotify:track:1bi59UgQqJIo4qcl9KEeV5,https://api.spotify.com/v1/tracks/1bi59UgQqJIo4qcl9KEeV5,https://api.spotify.com/v1/audio-analysis/1bi59UgQqJIo4qcl9KEeV5,1602000,4
14,0.609,0.69,9,-6.665,0,0.25,0.0463,0.0,0.161,0.415,86.929,audio_features,5uVpjP42MoFv5pmDmgTb7o,spotify:track:5uVpjP42MoFv5pmDmgTb7o,https://api.spotify.com/v1/tracks/5uVpjP42MoFv5pmDmgTb7o,https://api.spotify.com/v1/audio-analysis/5uVpjP42MoFv5pmDmgTb7o,228896,4
15,0.695,0.579,0,-5.066,1,0.0325,0.000479,0.0,0.0556,0.726,88.957,audio_features,1cjBan0t4eBk2Y5j17hdyf,spotify:track:1cjBan0t4eBk2Y5j17hdyf,https://api.spotify.com/v1/tracks/1cjBan0t4eBk2Y5j17hdyf,https://api.spotify.com/v1/audio-analysis/1cjBan0t4eBk2Y5j17hdyf,218187,4
16,0.576,0.545,5,-7.213,1,0.0281,0.0871,0.000502,0.267,0.649,84.24,audio_features,1tKha6Q0lYlW1qsWYbZB2N,spotify:track:1tKha6Q0lYlW1qsWYbZB2N,https://api.spotify.com/v1/tracks/1tKha6Q0lYlW1qsWYbZB2N,https://api.spotify.com/v1/audio-analysis/1tKha6Q0lYlW1qsWYbZB2N,250089,4
17,0.692,0.717,0,-4.226,1,0.0498,0.111,0.00123,0.044,0.973,119.907,audio_features,5nHRIKsXDwUpse9gzrAxLR,spotify:track:5nHRIKsXDwUpse9gzrAxLR,https://api.spotify.com/v1/tracks/5nHRIKsXDwUpse9gzrAxLR,https://api.spotify.com/v1/audio-analysis/5nHRIKsXDwUpse9gzrAxLR,195733,4
18,0.626,0.539,9,-8.372,1,0.0288,0.58,0.0,0.309,0.539,113.702,audio_features,5AmPClBlU5sK45i6kMSngt,spotify:track:5AmPClBlU5sK45i6kMSngt,https://api.spotify.com/v1/tracks/5AmPClBlU5sK45i6kMSngt,https://api.spotify.com/v1/audio-analysis/5AmPClBlU5sK45i6kMSngt,128200,4
19,0.796,0.337,5,-18.041,1,0.0334,0.22,0.0,0.115,0.858,106.923,audio_features,1ftAGHtW6qiWgpT5MupqmR,spotify:track:1ftAGHtW6qiWgpT5MupqmR,https://api.spotify.com/v1/tracks/1ftAGHtW6qiWgpT5MupqmR,https://api.spotify.com/v1/audio-analysis/1ftAGHtW6qiWgpT5MupqmR,174640,4
20,0.384,0.539,10,-7.433,1,0.0308,0.138,0.0,0.375,0.287,147.79,audio_features,2Oghfvs0YkMNadU5c31GpJ,spotify:track:2Oghfvs0YkMNadU5c31GpJ,https://api.spotify.com/v1/tracks/2Oghfvs0YkMNadU5c31GpJ,https://api.spotify.com/v1/audio-analysis/2Oghfvs0YkMNadU5c31GpJ,344080,4
21,0.664,0.909,6,-3.552,0,0.22,0.444,0.0,0.525,0.557,93.977,audio_features,5I6YA7oHtraxwWQzzCugDt,spotify:track:5I6YA7oHtraxwWQzzCugDt,https://api.spotify.com/v1/tracks/5I6YA7oHtraxwWQzzCugDt,https://api.spotify.com/v1/audio-analysis/5I6YA7oHtraxwWQzzCugDt,209693,4
22,0.343,0.822,8,-7.485,1,0.0577,0.0955,0.0,0.142,0.587,88.818,audio_features,0M1Mnr1XRc7z1v1O0meSuL,spotify:track:0M1Mnr1XRc7z1v1O0meSuL,https://api.spotify.com/v1/tracks/0M1Mnr1XRc7z1v1O0meSuL,https://api.spotify.com/v1/audio-analysis/0M1Mnr1XRc7z1v1O0meSuL,192000,4
